BRANCH_CODE,CREDIT_CARD_NO,CUST_SSN,DAY,MONTH,TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_VALUE,YEAR
114,4210653349028689,123459988,14,2,1,Education,78.9,2018
35,4210653349028689,123459988,20,3,2,Entertainment,14.24,2018
160,4210653349028689,123459988,8,7,3,Grocery,56.7,2018
114,4210653349028689,123459988,19,4,4,Entertainment,59.73,2018
93,4210653349028689,123459988,10,10,5,Gas,3.59,2018
164,4210653349028689,123459988,28,5,6,Education,6.89,2018
119,4210653349028689,123459988,19,5,7,Entertainment,43.39,2018
23,4210653349028689,123459988,8,8,8,Gas,95.39,2018
166,4210653349028689,123459988,18,3,9,Entertainment,93.26,2018
83,4210653349028689,123459988,3,9,10,Bills,100.38,2018
52,4210653349028689,123459988,21,8,11,Gas,98.75,2018
17,4210653349028689,123459988,24,12,12,Gas,42.71,2018
80,4210653349028689,123459988,3,4,13,Grocery,40.24,2018
50,4210653349028689,123459988,15,4,14,Bills,17.81,2018
123,4210653349028689,123459988,17,5,15,Bills,29.0,2018
9,4210653349028689,123459988,6,7,16,Test,70.63,2018
3,4210653349028689,123459988,28,9,17,Test,27.04,2018
135,4210653349028689,123459988,4,7,18,Entertainment,88.75,2018
103,4210653349028689,123459988,24,4,19,Test,77.02,2018
78,4210653349028689,123459988,8,10,20,Bills,34.34,2018
156,4210653349028689,123459988,23,10,21,Education,10.56,2018
20,4210653349028689,123459988,13,8,22,Education,6.7,2018
44,4210653349028689,123459988,17,3,23,Bills,7.97,2018
54,4210653349028689,123459988,11,5,24,Test,32.81,2018
119,4210653349028689,123459988,3,3,25,Entertainment,35.02,2018
121,4210653349028689,123459988,11,5,26,Test,86.3,2018
19,4210653349028689,123459988,14,12,27,Test,82.05,2018
43,4210653349028689,123459988,6,8,28,Healthcare,98.78,2018
7,4210653349028689,123459988,14,10,29,Grocery,9.49,2018
29,4210653349028689,123459988,4,12,30,Gas,17.03,2018
123,4210653349028689,123459988,24,10,31,Grocery,54.49,2018
66,4210653349028689,123459988,12,12,32,Education,13.34,2018
117,4210653349028689,123459988,20,10,33,Healthcare,24.37,2018
72,4210653349028689,123459988,9,11,34,Entertainment,53.03,2018
95,4210653349028689,123459988,9,9,35,Test,96.55,2018
32,4210653349028689,123459988,28,9,36,Education,62.82,2018
104,4210653349028689,123459988,12,4,37,Education,73.99,2018
158,4210653349028689,123459988,6,9,38,Education,63.08,2018
70,4210653349028689,123459988,5,10,39,Entertainment,46.84,2018
69,4210653349028689,123459988,16,1,40,Entertainment,96.29,2018
26,4210653349028689,123459988,7,3,41,Education,25.01,2018
27,4210653349028689,123459988,20,11,42,Bills,30.95,2018
79,4210653349028689,123459988,4,6,43,Gas,83.33,2018
36,4210653349028689,123459988,13,11,44,Healthcare,79.91,2018
124,4210653349028689,123459988,8,9,45,Healthcare,20.81,2018
104,4210653349028689,123459988,21,1,46,Bills,4.95,2018
50,4210653349028689,123459988,28,4,47,Grocery,41.62,2018
20,4210653349028689,123459988,12,5,48,Education,3.79,2018
69,4210653349028689,123459988,26,8,49,Healthcare,26.34,2018
76,4210653349028689,123459988,2,1,50,Entertainment,53.49,2018
93,4210653349028689,123459988,4,3,51,Gas,73.45,2018
80,4210653349028689,123459988,9,12,52,Entertainment,15.89,2018
43,4210653349028689,123459988,14,4,53,Grocery,16.99,2018
59,4210653349028689,123459988,3,2,54,Healthcare,31.87,2018
158,4210653349028689,123459988,21,12,55,Healthcare,30.58,2018
27,4210653349028689,123459988,11,1,56,Grocery,4.19,2018
126,4210653349028689,123459988,27,11,57,Bills,1.32,2018
59,4210653349028689,123459988,9,8,58,Bills,13.72,2018
156,4210653349028689,123459988,16,3,59,Healthcare,45.55,2018
74,4210653349028689,123459988,24,6,60,Entertainment,72.17,2018
70,4210653349028689,123459988,22,9,61,Gas,84.13,2018
123,4210653349028689,123459988,20,3,62,Test,51.91,2018
121,4210653349028689,123459988,22,12,63,Education,43.08,2018
60,4210653349028689,123459988,18,9,64,Healthcare,89.81,2018
31,4210653349028689,123459988,25,1,65,Grocery,56.84,2018
63,4210653349028689,123459988,11,8,66,Education,82.11,2018
63,4210653349028689,123459988,25,10,67,Gas,35.29,2018
27,4210653349028689,123459988,15,2,68,Entertainment,46.53,2018
31,4210653349028689,123459988,7,6,69,Test,93.2,2018
139,4210653349028689,123459988,27,4,70,Grocery,61.4,2018
9,4210653349028689,123459988,12,6,71,Bills,87.58,2018
48,4210653349028689,123459988,17,7,72,Education,8.08,2018
145,4210653349028689,123459988,7,3,73,Entertainment,92.84,2018
144,4210653349028689,123459988,27,3,74,Bills,45.93,2018
42,4210653349028689,123459988,18,12,75,Gas,38.07,2018
49,4210653349028689,123459988,16,3,76,Gas,51.93,2018
1,4210653349028689,123459988,28,11,77,Bills,53.03,2018
73,4210653349028689,123459988,14,4,78,Education,31.89,2018
53,4210653349028689,123459988,13,6,79,Gas,66.48,2018
43,4210653349028689,123459988,25,10,80,Education,92.47,2018
99,4210653349028689,123459988,15,3,81,Entertainment,81.4,2018
89,4210653349028689,123459988,24,2,82,Healthcare,97.98,2018
17,4210653349028689,123459988,4,3,83,Bills,55.4,2018
79,4210653349028689,123459988,25,9,84,Bills,70.25,2018
32,4210653349028689,123459988,11,11,85,Healthcare,60.9,2018
109,4210653349028689,123459988,5,11,86,Bills,7.62,2018
175,4210653349028689,123459988,6,2,87,Test,12.43,2018
175,4210653349028689,123459988,25,8,88,Test,17.12,2018
118,4210653349028689,123459988,12,7,89,Grocery,57.52,2018
