BRANCH_CODE,CREDIT_CARD_NO,CUST_SSN,DAY,MONTH,TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_VALUE,YEAR
156,4210653312478046,123455692,13,8,22562,Grocery,91.08,2018
114,4210653312478046,123455692,26,6,22563,Bills,22.2,2018
47,4210653312478046,123455692,20,3,22564,Grocery,77.54,2018
17,4210653312478046,123455692,8,7,22565,Gas,84.05,2018
135,4210653312478046,123455692,18,10,22566,Entertainment,99.0,2018
109,4210653312478046,123455692,9,9,22567,Education,59.86,2018
26,4210653312478046,123455692,12,4,22568,Test,56.12,2018
81,4210653312478046,123455692,15,8,22569,Healthcare,92.32,2018
173,4210653312478046,123455692,20,2,22570,Entertainment,9.03,2018
104,4210653312478046,123455692,21,7,22571,Grocery,69.41,2018
105,4210653312478046,123455692,5,4,22572,Education,46.16,2018
48,4210653312478046,123455692,20,11,22573,Education,73.14,2018
115,4210653312478046,123455692,7,6,22574,Entertainment,85.99,2018
42,4210653385089392,123455683,2,6,22575,Gas,25.51,2018
50,4210653385089392,123455683,12,11,22576,Entertainment,64.15,2018
21,4210653385089392,123455683,1,5,22577,Gas,8.94,2018
48,4210653385089392,123455683,14,10,22578,Grocery,22.25,2018
115,4210653385089392,123455683,26,6,22579,Bills,5.6,2018
99,4210653385089392,123455683,9,11,22580,Gas,66.2,2018
80,4210653385089392,123455683,26,5,22581,Entertainment,22.89,2018
4,4210653385089392,123455683,12,9,22582,Gas,53.19,2018
95,4210653385089392,123455683,18,11,22583,Grocery,80.79,2018
4,4210653385089392,123455683,9,5,22584,Healthcare,34.77,2018
109,4210653385089392,123455683,9,6,22585,Healthcare,54.39,2018
40,4210653385089392,123455683,21,5,22586,Gas,84.62,2018
53,4210653385089392,123455683,26,12,22587,Entertainment,86.78,2018
7,4210653385089392,123455683,22,2,22588,Healthcare,83.79,2018
81,4210653385089392,123455683,2,11,22589,Healthcare,58.42,2018
47,4210653385089392,123455683,5,9,22590,Test,65.85,2018
131,4210653385089392,123455683,19,11,22591,Test,57.19,2018
81,4210653385089392,123455683,20,7,22592,Gas,60.11,2018
29,4210653385089392,123455683,17,3,22593,Entertainment,86.18,2018
93,4210653385089392,123455683,8,10,22594,Gas,49.11,2018
168,4210653385089392,123455683,7,2,22595,Gas,29.73,2018
72,4210653385089392,123455683,12,7,22596,Healthcare,2.45,2018
