BRANCH_CODE,CREDIT_CARD_NO,CUST_SSN,DAY,MONTH,TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_VALUE,YEAR
180,4210653342242023,123451310,15,3,45069,Bills,77.79,2018
107,4210653342242023,123451310,19,4,45070,Healthcare,20.47,2018
58,4210653342242023,123451310,28,6,45071,Healthcare,1.61,2018
85,4210653342242023,123451310,6,3,45072,Gas,73.86,2018
123,4210653342242023,123451310,16,8,45073,Healthcare,28.4,2018
124,4210653342242023,123451310,1,12,45074,Education,55.39,2018
30,4210653342242023,123451310,18,6,45075,Gas,22.99,2018
36,4210653342242023,123451310,9,1,45076,Test,92.83,2018
25,4210653342242023,123451310,21,9,45077,Healthcare,50.21,2018
158,4210653342242023,123451310,8,1,45078,Healthcare,55.67,2018
79,4210653342242023,123451310,2,5,45079,Test,26.27,2018
43,4210653342242023,123451310,23,1,45080,Bills,95.51,2018
15,4210653342242023,123451310,5,8,45081,Test,96.35,2018
109,4210653342242023,123451310,6,8,45082,Entertainment,47.19,2018
89,4210653342242023,123451310,10,12,45083,Healthcare,55.99,2018
135,4210653342242023,123451310,28,7,45084,Healthcare,63.77,2018
66,4210653342242023,123451310,23,11,45085,Bills,87.71,2018
178,4210653342242023,123451310,17,2,45086,Entertainment,66.19,2018
90,4210653342242023,123451310,15,1,45087,Gas,63.93,2018
19,4210653342242023,123451310,4,11,45088,Gas,28.43,2018
164,4210653342242023,123451310,9,4,45089,Gas,32.22,2018
173,4210653342242023,123451310,21,2,45090,Gas,38.44,2018
21,4210653398155235,123451303,26,3,45091,Entertainment,96.1,2018
145,4210653398155235,123451303,28,4,45092,Test,97.01,2018
126,4210653398155235,123451303,10,5,45093,Entertainment,9.06,2018
60,4210653398155235,123451303,6,7,45094,Test,29.94,2018
31,4210653398155235,123451303,21,2,45095,Bills,19.36,2018
36,4210653398155235,123451303,12,4,45096,Education,62.57,2018
119,4210653398155235,123451303,18,3,45097,Gas,29.14,2018
45,4210653398155235,123451303,13,6,45098,Entertainment,79.12,2018
5,4210653398155235,123451303,23,9,45099,Healthcare,59.72,2018
75,4210653398155235,123451303,4,7,45100,Entertainment,82.94,2018
90,4210653398155235,123451303,19,8,45101,Grocery,51.86,2018
126,4210653398155235,123451303,19,7,45102,Bills,35.86,2018
95,4210653398155235,123451303,3,4,45103,Bills,36.56,2018
73,4210653398155235,123451303,28,7,45104,Entertainment,59.33,2018
173,4210653398155235,123451303,14,7,45105,Entertainment,8.48,2018
121,4210653398155235,123451303,15,2,45106,Healthcare,26.03,2018
15,4210653398155235,123451303,25,5,45107,Grocery,79.48,2018
38,4210653398155235,123451303,9,11,45108,Gas,86.18,2018
144,4210653398155235,123451303,13,2,45109,Education,81.83,2018
11,4210653398155235,123451303,20,12,45110,Healthcare,15.26,2018
158,4210653398155235,123451303,23,1,45111,Entertainment,82.71,2018
107,4210653398155235,123451303,13,4,45112,Education,52.66,2018
111,4210653398155235,123451303,21,12,45113,Healthcare,31.89,2018
21,4210653398155235,123451303,25,10,45114,Gas,90.96,2018
74,4210653398155235,123451303,18,3,45115,Healthcare,83.09,2018
81,4210653398155235,123451303,15,10,45116,Bills,81.09,2018
19,4210653398155235,123451303,16,3,45117,Healthcare,38.2,2018
29,4210653398155235,123451303,9,2,45118,Test,66.37,2018
67,4210653398155235,123451303,8,10,45119,Education,57.46,2018
20,4210653398155235,123451303,22,4,45120,Gas,3.52,2018
46,4210653398155235,123451303,20,6,45121,Healthcare,55.34,2018
91,4210653398155235,123451303,7,10,45122,Healthcare,24.49,2018
39,4210653398155235,123451303,27,12,45123,Bills,64.29,2018
74,4210653398155235,123451303,6,2,45124,Bills,91.84,2018
131,4210653398155235,123451303,6,3,45125,Healthcare,55.82,2018
